commit_id,OSV-2023-1205,OSV-2023-1206,OSV-2023-1207,OSV-2023-1208,OSV-2023-1294,OSV-2023-1305,OSV-2023-1311,OSV-2023-1312,OSV-2023-1313,OSV-2023-1322,OSV-2023-342,OSV-2023-68,OSV-2023-75,OSV-2023-840,OSV-2023-95,OSV-2023-97,OSV-2024-637,OSV-2024-638,OSV-2025-534,OSV-2025-584,OSV-2025-589
a75597f2402949d941bdabfd3c52ee8dee4b6a4d,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
30858f49ad57b9a888e6768b0ae1558e5f895176,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
240680473fce0823469bb038d61b29eb7fca12be,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
bbcac434f27e876e6f0f4aea3381d53ab065a3c0,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
f27694faed751f48be840969766577720dc2a084,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
29f519228a0c8c39414528f2bbb5e44e6b2e05c0,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
2ff6f153766723731d9eb101ef8b2373356d638f,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
3fcf95935950ad3fc4bf37eee8fb6e4c77c62339,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
7c59eeb92090e22a46a53d9410475280fd5c86bf,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
47dfd4ca647b446ef34f8c4666d1d1bda0a9366b,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
9cb4ae646c9b6f423ed448c5d38a3f587f5ee0c5,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
4ea89ecf7bfc4f058cbba91733948f6a3573ba3e,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0.5|1,0.5|1,0.5|1,0.5|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
a24d3cf61f26d7c2f0a6e41830a463a2d781de1a,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0.5|1,0|1,0|0,0|0,0|0,0.5|1,0|0,0|0,0.5|1,0|0,0.5|1,0|0,0|0
