commit_id,OSV-2020-1121,OSV-2020-1222,OSV-2020-1301,OSV-2020-1733,OSV-2020-955,OSV-2020-958,OSV-2020-998,OSV-2020-999,OSV-2021-220,OSV-2021-222,OSV-2021-228,OSV-2021-229,OSV-2021-231,OSV-2021-240,OSV-2021-242,OSV-2021-251,OSV-2021-258,OSV-2021-305,OSV-2023-1370,OSV-2023-837,OSV-2024-1212,OSV-2024-189,OSV-2024-20,OSV-2024-74
eb1d4b54d8454f886a4571b240f69792c2788d9b,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
6b9e87f92cc1594ccc475af84738720692fb5a2d,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
c5c433eabf8de0f900d19652cdad0c66e36e0797,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
db90fb58b06d6f3b27b5b873588da7c77844da22,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ad25d95fec9632c2e388b290b4e38e438b8d9c6c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
fc6df6518a5fea4bc2a8b071c694d70a8e24e5f6,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ca891e4ba6af28cac0fb48a88cbc59ee5974f561,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
4a913bad6866ba17800ec22b143246aab007ef9c,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
06df79e172dc226b3169e56bb1acfb1d5a8f430f,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
2ab3520d807f5a93b3b615ecf50fa75cb777e3e4,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
71d8683df6084b304a999cca639229e64e499316,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
d58f21ebafdb653dcb3154f581f4102f731807f5,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
d256bed7abc2901e1fbc29896f60aa7b8d9e1a28,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
1579ace7cd98b1c37ae11381e9c4e368b86dcbc2,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
626249d67541dd5197f6299522b8e74c82c8ec66,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
6a73744e68fd6128236333e3bcc018065f42aa22,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
10e8e6eb3c35c8996725b7507df5e8309b582487,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
016c09c71f4bbd8679698890cdb25559847e9e48,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
618e13d939d70cd8c2625b40698da911c75b59f1,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
c67394724f92ed7a136b96ffaf6e430ba81924a4,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
8990a6016ebfea43a128a01a301b769a945cad98,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ab6655f71069c75fb877efd8f7d2d392ee426afa,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
9279d76e1186d7155ceea9db9db8c9298f6139bd,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
a25c00517d656a78a5cf26e5c183c94d03f79d28,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
58153ddb094c33e3715780cff550fa27c53edb8e,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
85282dbd850e208e22aac98fab39d539aa06f5a4,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
43535fe3503452d4589b1fbb9b7a8bddde73fae0,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
ca04309e1104375ed82a4602f2c57de58176f0a5,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
3f140ad0bd64beeed2884b818e7b7a08ef06721d,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
c1c8c80dc749485ff76d0fd0a643e837df46d46e,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
128c0e3fdaf0f9fabe934e8c6468a8213bacffe8,0|0,0.5|1,0.5|1,0|0,0.5|1,0|0,0.5|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
