commit id,OSV-2020-1046,OSV-2020-1720,OSV-2020-1836,OSV-2020-1844,OSV-2020-1848,OSV-2020-1860,OSV-2020-1981,OSV-2020-1990,OSV-2020-209,OSV-2020-2157,OSV-2020-2178,OSV-2020-2222,OSV-2020-2254,OSV-2020-2276,OSV-2020-366,OSV-2020-452,OSV-2020-525,OSV-2020-55,OSV-2020-693,OSV-2020-885,OSV-2020-969,OSV-2021-1017,OSV-2021-262,OSV-2021-474,OSV-2021-537,OSV-2021-538,OSV-2021-915,poc count
433377f76e41e35132cd12f5d4c13c14dc62a3ba,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
754a409191bd62ce4931b66ab40119975b2df6de,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
e9957b9a921e6ce105e91bb9b0784a9cbcb55f3c,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
8ab39bdec709e2f2ce45a7b37f4d75da8e3e04bc,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
39c1400fac30810922f143b7b2d3249c356c8ac2,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
78548a93944a495215bd85c8bd583c0713a504ae,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
7858f3cd069df160058a939fcfe08fa5f0f16e47,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
32b49894c5991a63fcb913c3e5bc6dc3af9c3c22,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
c246f6f69a749d4f68626b40795a4f69168008f4,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
4c67bbf3838aba9cf7e00697403d7b860bbae30b,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
424eca8bef0fc0d141410437ecd0d0b7ad740b06,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
bee5c6d6396b07543e3c24bab2fad275ccf9de91,0.5|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0.5|0,0.5|1,0.5|0,0|0,0|0,0|0,0|0,0.5|0,2
